known_heads,shared_tail,target_relation,answers
"[('Urethral (qualifier value)', 'has_finding_site'), ('Female urethral structure (body structure)', 'has_finding_site')]","Opitz GBBB Syndrome, Type I",manifestation_of,['anus imperforated']
"[('Urethral (qualifier value)', 'has_finding_site'), ('Female urethral structure (body structure)', 'has_finding_site')]","Opitz GBBB Syndrome, Type I",has_phenotype,"['MID1, 3-BP DEL, MET438']"
"[('RENAL MASS BENIGN', 'co-occurs_with'), ('SPLEEN GRANULOMA', 'co-occurs_with')]",ABDOMEN CT SCAN ABNORMAL,co-occurs_with,['Abdominal mass (disorder)']
"[('heart troubled', 'co-occurs_with'), ('CARDIAC DEFECT STRUCTURAL', 'co-occurs_with')]",heart surgery (treatment),has_focus,['cardiac surgery hospital progress note (treatment)']
"[('Intrahepatic cholestasis (finding)', 'may_treat'), ('excessive fat in the blood', 'contraindicated_with_disease')]",fish oil (containing omega-3 acids),therapeutic_class_of,['Therapeutic Nutrients/Minerals/Electrolytes']
"[('middle column', 'used_for'), ('Lateral column (qualifier value)', 'used_for')]",SpC,has_finding_site,"['Spinal cord compression due to neoplasm (disorder)', 'Spastic paralysis due to spinal birth injury (disorder)', 'Immune-mediated meningoencephalomyelitis (disorder)', 'Paralysis due to lesion of spinal cord (disorder)', 'Nutritional myelopathy of pigs (disorder)', 'Traumatic spinal cord injury (disorder)', 'Murine encephalomyelitis (disorder)', 'Sporadic bovine encephalomyelitis (disorder)', 'hematomyelia (diagnosis)', 'Split cord malformation type 1', 'Spinal cord injury without spinal bone injury NOS (disorder)', 'Verminous myelitis (disorder)', 'primary CNS lymphoma of spinal cord (diagnosis)', 'Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids (disorder)', 'Equine degenerative myeloencephalopathy (disorder)', 'gliosarcoma of spinal cord (diagnosis)', 'lymphoma of spinal cord (diagnosis)', 'Spinal cord injury due to birth trauma (disorder)', 'Abscess of medulla spinalis', 'gliomatosis cerebri of spinal cord (diagnosis)', 'Avian encephalomyelitis (disorder)', 'TESCHEN DIS', 'idiopathic transverse myelitis (diagnosis)', 'lymphocytic choriomeningitis (diagnosis)', 'Noninfectious meningoencephalomyelitis of unknown origin', 'Hereditary amblyopia with quadriplegia in the Irish Setter (disorder)', 'Hereditary ataxia in Terriers (disorder)', 'spinal hematoma (diagnosis)', 'Akinetic rigid syndrome (disorder)', 'Abscess of spinal cord caused by fungus (disorder)', 'N/A', 'disproportion (at birth) due to fetal myelomeningocele', 'Myelitis associated with AIDS', 'Necrosis of spinal cord (disorder)', 'Neuronal ceroid cipofuscinosis type 12', 'Primary malignant neoplasm of cauda equina (disorder)', 'myelopathic pain syndrome (diagnosis)']"
"[('middle column', 'used_for'), ('Lateral column (qualifier value)', 'used_for')]",SpC,has_direct_procedure_site,"['Magnetic resonance imaging of spinal cord (procedure)', 'ultrasound guidance for biopsy of spinal cord (procedure)', 'Microdissection, spinal procedure (procedure)', 'repair of diastematomyelia (treatment)', 'Imaging @ Central Nervous System @ Fluoroscopy @ Spinal Cord @ None @ None @ None', 'inspection of spinal cord (treatment)']"
"[('middle column', 'used_for'), ('Lateral column (qualifier value)', 'used_for')]",SpC,has_procedure_site,"['TRNSRAL SKULL BSE/BR STEM/CORD BX/DCOMPR/EXC LES', 'REPAIR MYELOMENINGOCELE < 5 CM DIAMETER', 'spinal cord biopsy, percutaneous needle (procedure)', 'Laminectomy with drainage of intramedullary cyst/syrinx; to peritoneal or pleural space', 'Alys npgt w/o prgrmg']"
"[('Congenital absence of carpal bone (disorder)', 'location_of'), ('bone carpal bone', 'location_of')]",Ossa carpalia,has_finding_site,"['Congenital absence of carpal bone and metacarpal bone (disorder)', 'x-ray wrist increased bone density (procedure)', 'Osteonecrs due to previous trauma of radius, ulna and carpus', 'fracture carpal bones, multiple (diagnosis)']"
"[('Congenital absence of carpal bone (disorder)', 'location_of'), ('bone carpal bone', 'location_of')]",Ossa carpalia,has_direct_procedure_site,"['Internal fixation of bone of carpus (procedure)', 'Internal fixation of bone of carpus without fracture reduction', 'Closed reduction of fracture of wrist (procedure)', 'Vascularized bone graft to carpal bone with microsurgery (procedure)', 'Pedicle vascularized bone graft to carpal bone (procedure)', 'Manual reduction of closed trans-scaphoperilunar fracture dislocation', 'Repair of nonunion of carpal bone (procedure)', 'Osteoplasty of carpal bone (procedure)', 'Harvesting of carpal bone (procedure)', 'Osteotomy of carpals and metacarpals (procedure)', 'excision of carpal (treatment)']"
"[('Congenital absence of carpal bone (disorder)', 'location_of'), ('bone carpal bone', 'location_of')]",Ossa carpalia,has_procedure_site,"['Revision of internal fixation of carpal and metacarpal bones (procedure)', 'Oth dx proc-metacar/car', 'CARPECTOMY 1 BONE', 'OPEN TX CARPAL BONE FRACTURE OTH/THN SCAPHOID EA', 'osteoplasty for carpal bone shortening (treatment)', 'Cltx carpl fx w/o mnpj ea b1']"
"[('Inflammation of intestine caused by enteroinvasive Escherichia coli', 'causative_agent_of'), ('colitis caused by enteroinvasive Escherichia coli (diagnosis)', 'causative_agent_of')]",Enteroinvasive Escherichia coli (organism),has_component,['NAA with probe detection for Escherichia coli enteroinvasive DNA (lab test)']
"[('Warts: [viral] or [verrucae] (disorder)', 'may_treat'), ('Molluscum contagiosum (disorder)', 'may_treat')]",Cantharidin (product),has_active_ingredient,"['Product containing only cantharidin (medicinal product)', 'SALICYLIC ACID 30 g in 100 g / CANTHARIDIN 1 g in 100 g / PODOPHYLLUM RESIN 5 g in 100 g TOPICAL LIQUID']"
"[('Warts: [viral] or [verrucae] (disorder)', 'may_treat'), ('Molluscum contagiosum (disorder)', 'may_treat')]",Cantharidin (product),physiologic_effect_of,['Decreased Mitosis [PE]']
"[('Warts: [viral] or [verrucae] (disorder)', 'may_treat'), ('Molluscum contagiosum (disorder)', 'may_treat')]",Cantharidin (product),mechanism_of_action_of,['Enzyme Inhibitors']
"[('rivotril', 'used_for'), ('Petit mal (disorder)', 'may_treat')]",clonazepam (medication),has_component,['meconium analysis for clonazepam by confirmatory method (lab test)']
"[('rivotril', 'used_for'), ('Petit mal (disorder)', 'may_treat')]",clonazepam (medication),has_ingredient,"['clonazePAM Injectable Product', 'Clonazepam 0.5 MILLIGRAM In 1 TABLET ORAL TABLET']"
"[('rivotril', 'used_for'), ('Petit mal (disorder)', 'may_treat')]",clonazepam (medication),has_active_ingredient,['Clonazepam-containing product in oral dose form']
"[('rivotril', 'used_for'), ('Petit mal (disorder)', 'may_treat')]",clonazepam (medication),physiologic_effect_of,['Increased GABA Activity [PE]']
"[('Impetigo due to Staphylococcus aureus (disorder)', 'associated_with'), ('pemphigus neonatorum (diagnosis)', 'associated_with')]",staphylococcus aureus bacteria,has_component,"['bone culture for Staphylococcus aureus (lab test)', 'Nasal Staphylococcus aureus (lab test)', 'pacing wires culture for penicillin-resistant Staphylococcus aureus (lab test)']"
"[('Impetigo due to Staphylococcus aureus (disorder)', 'associated_with'), ('pemphigus neonatorum (diagnosis)', 'associated_with')]",staphylococcus aureus bacteria,has_ingredient,['mixed respiratory vaccine 200000000 organisms/mL subcutaneous suspension']
"[('ESOPHAGOGRAM ABNORMAL', 'co-occurs_with'), ('congenital contracture of limbs and face, hypotonia, developmental delay syndrome (diagnosis)', 'manifestation_of')]",gastroesophageal reflux disease (GERD),has_focus,"['Radionuclide gastroesophageal reflux study', 'GERD symptoms assessed after 12 months therapy']"
"[('ESOPHAGOGRAM ABNORMAL', 'co-occurs_with'), ('congenital contracture of limbs and face, hypotonia, developmental delay syndrome (diagnosis)', 'manifestation_of')]",gastroesophageal reflux disease (GERD),co-occurs_with,['Unspecified abdominal pain']
"[('ESOPHAGOGRAM ABNORMAL', 'co-occurs_with'), ('congenital contracture of limbs and face, hypotonia, developmental delay syndrome (diagnosis)', 'manifestation_of')]",gastroesophageal reflux disease (GERD),may_treat,['aluminum hydroxide (medication)']
"[('CEREBRAL PARENCHYMAL HEMATOMA', 'co-occurs_with'), ('Extradural haematoma (disorder)', 'co-occurs_with')]",subdural bleeding,has_focus,['infratentorial craniotomy for subdural hemorrhage removal (treatment)']
"[('CEREBRAL PARENCHYMAL HEMATOMA', 'co-occurs_with'), ('Extradural haematoma (disorder)', 'co-occurs_with')]",subdural bleeding,co-occurs_with,['Abscess of brain (disorder)']
"[('Unspecified infection of urinary tract in pregnancy, unspecified trimester', 'clinically_associated_with'), (""baby's due date"", 'clinically_associated_with')]",TEEN PREGN,used_for,"['teenage', 'pregnancy age']"
"[('Unspecified infection of urinary tract in pregnancy, unspecified trimester', 'clinically_associated_with'), (""baby's due date"", 'clinically_associated_with')]",TEEN PREGN,clinically_associated_with,['spontaneous abortion (diagnosis)']
"[('LYMPHOGR', 'used_for'), ('Diagnostic radiography (procedure)', 'used_for')]",RADIOGR,associated_with,['medical devices associated with adverse incidents radiological']
"[('LYMPHOGR', 'used_for'), ('Diagnostic radiography (procedure)', 'used_for')]",RADIOGR,has_focus,['trigeminal nerve ablation of 2nd and 3rd division branches at foramen ovale with radiologic monitoring']
"[('LYMPHOGR', 'used_for'), ('Diagnostic radiography (procedure)', 'used_for')]",RADIOGR,co-occurs_with,['INJ BACK']
